Time, Quadrant Number, Ball Colour, Type
0.03, 4, red, Entry
0.03, 3, red, Exit
0.03, 1, red, Exit
0.03, 2, red, Exit
0.03, 4, blue, Entry
0.03, 2, blue, Exit
0.07, 1, red, Exit
0.07, 4, blue, Exit
0.07, 2, blue, Exit
0.10, 4, blue, Exit
0.10, 2, blue, Exit
0.13, 4, blue, Exit
0.13, 2, blue, Exit
0.17, 2, red, Exit
0.17, 1, red, Exit
0.17, 4, blue, Exit
0.17, 2, blue, Exit
0.20, 3, red, Exit
0.20, 2, red, Exit
0.20, 4, blue, Exit
0.20, 2, blue, Exit
0.23, 3, red, Exit
0.23, 1, red, Exit
0.23, 2, red, Exit
0.23, 4, blue, Exit
0.23, 2, blue, Exit
0.27, 1, red, Exit
0.27, 2, red, Exit
0.27, 4, blue, Exit
0.27, 2, blue, Exit
0.30, 3, red, Exit
0.30, 2, red, Exit
0.30, 4, blue, Exit
0.30, 2, blue, Exit
0.33, 3, red, Exit
0.33, 1, red, Exit
0.33, 4, blue, Exit
0.33, 2, blue, Exit
0.37, 3, red, Exit
0.37, 1, red, Exit
0.37, 2, red, Exit
0.37, 4, blue, Exit
0.37, 2, blue, Exit
0.40, 4, blue, Exit
0.40, 2, blue, Exit
0.43, 3, red, Exit
0.43, 1, red, Exit
0.43, 2, red, Exit
0.43, 4, blue, Exit
0.43, 2, blue, Exit
0.47, 3, red, Exit
0.47, 1, red, Exit
0.47, 2, red, Exit
0.47, 4, blue, Exit
0.47, 2, blue, Exit
0.50, 4, blue, Exit
0.50, 2, blue, Exit
0.53, 3, red, Exit
0.53, 1, red, Exit
0.53, 2, red, Exit
0.53, 4, blue, Exit
0.53, 2, blue, Exit
0.57, 3, red, Exit
0.57, 2, red, Exit
0.57, 4, blue, Exit
0.57, 2, blue, Exit
0.60, 3, red, Exit
0.60, 1, red, Exit
0.60, 2, red, Exit
0.60, 4, blue, Exit
0.60, 2, blue, Exit
0.63, 3, red, Exit
0.63, 2, red, Exit
0.63, 4, blue, Exit
0.63, 2, blue, Exit
0.67, 3, red, Exit
0.67, 2, red, Exit
0.67, 4, blue, Exit
0.67, 2, blue, Exit
0.70, 3, red, Exit
0.70, 4, blue, Exit
0.70, 2, blue, Exit
0.73, 2, red, Exit
0.73, 4, blue, Exit
0.73, 2, blue, Exit
0.77, 3, red, Exit
0.77, 4, red, Exit
0.77, 3, red, Exit
0.77, 1, red, Exit
0.77, 2, red, Exit
0.77, 4, blue, Exit
0.77, 2, blue, Exit
0.80, 3, red, Exit
0.80, 1, red, Exit
0.80, 2, red, Exit
0.80, 4, blue, Exit
0.80, 2, blue, Exit
0.83, 3, red, Exit
0.83, 1, red, Exit
0.83, 2, red, Exit
0.83, 4, blue, Exit
0.83, 2, blue, Exit
0.87, 3, red, Exit
0.87, 2, red, Exit
0.87, 4, blue, Exit
0.87, 2, blue, Exit
0.90, 3, red, Exit
0.90, 1, red, Exit
0.90, 2, red, Exit
0.90, 4, blue, Exit
0.90, 2, blue, Exit
0.93, 3, red, Exit
0.93, 1, red, Exit
0.93, 2, red, Exit
0.93, 4, blue, Exit
0.93, 2, blue, Exit
0.97, 3, red, Exit
0.97, 1, red, Exit
0.97, 2, red, Exit
0.97, 4, blue, Exit
0.97, 2, blue, Exit
1.00, 3, red, Exit
1.00, 1, red, Exit
1.00, 2, red, Exit
1.00, 4, blue, Exit
1.00, 2, blue, Exit
1.03, 3, red, Exit
1.03, 1, red, Exit
1.03, 2, red, Exit
1.03, 4, blue, Exit
1.03, 2, blue, Exit
1.07, 3, red, Exit
1.07, 1, red, Exit
1.07, 2, red, Exit
1.07, 4, blue, Exit
1.07, 2, blue, Exit
1.10, 3, red, Exit
1.10, 1, red, Exit
1.10, 2, red, Exit
1.10, 4, blue, Exit
1.10, 2, blue, Exit
1.13, 3, red, Exit
1.13, 4, blue, Exit
1.13, 2, blue, Exit
1.17, 4, blue, Exit
